chanel buyer,age,city,ethnicity,group,response
1,32,Anchorage,White,Under 40,A certain price point is definitely a major factor. Anything over $750 seems lux. Also exclusively. I like items that are somewhat hard to get. For example Chanel can’t be purchased online. That makes it more luxury to me. Also many luxury brands only make a limited number of items or for a certain season only. That makes them seem more Lux. I also like to buy things that I see people wearing on reality TV. I’m a major Bravo fan and get a lot of my luxury inspiration from what the housewives wear.
1,35,Atlanta,White,Under 40,"I believe a luxury fashion brands are good investment pieces that offers quality, uniqueness and holds resale value."
1,40,Atlanta,African American,40-60,Craftsmanship and unique pieces
1,31,Austin,White,Under 40,"To me, a luxury brand is brand that has withstand the test of time and is iconic. Iconic in the sense that when you look at a piece of item, you can easily identify the brand. Some great examples of that would be the Chanel classic flap, Louboutins red sole, the Lonchamp tote, and Mulberry bayswater. The second important factor for me is quality. It has to be made to last and the item must have flawless craftsmanship. These are the two things that are important to me when it comes to luxury brands."
1,32,Baltimore,White,Under 40,"The quality, service and relationship are the most important factors. Service not just at the time of purchase but also if an issue arises, they stand by their product. For clothing, being able to alter and have the SA help with fit is very helpful. For shoes and bags, there is nothing more important than your relationship with your SA. Having that relationship is only possible in the luxury market."
1,41,Boston,White,40-60,"Couture houses, grew up looking at luxury fashion brands in Vogue."
1,46,Charlotte,White,40-60,"Timeless elegance, sustainability, and durability"
1,41,Chicago,Asian,40-60,"Creativity, Design, Attention to detail and marketing, these differentiates the brands from one another and make them more desirable."
1,35,Chicago,White,Under 40,"They are all pieces of wearable, functional art. It’s truly something to collect and admire whether you’re using it or not. I love the design, the way the clothes hug your body, and how every piece is expertly designed. The craftsmanship will continue to make me a collector for life!"
1,51,Chicago,Asian,40-60,"Quality of material, design, history, scarcity"
1,25,Chicago,Asian,Under 40,"Jimmy chop patent mules
Valentino rock stud sandals
Jimmy choo heeled combat boots
Valentino wrap heeled sandal
Louboutin suede booties
Louboutin studded suede sandals
Dior small book tote Asian21 spring
Louboutin hot chick patent pumps"
1,38,Chicago,White,Under 40,Impeccable quality and style that lasts forever
1,33,Chicago,White,Under 40,I really appreciate the high quality and care that is put into luxury fashion brands. Even the luxe packaging is something that stands out to me from other fashion brands. I also appreciate the value of luxury items and the legacy they leave behind for future generations.
1,36,Chicago,White,Under 40,"Quality is far superior, styles are timeless, part of capsule wardrobe, history of brand / certain styles are both interesting and show how they will continue to stand the test of time."
1,44,Chicago,Asian,40-60,"Quality/craftsmanship, fit, aesthetic"
1,49,Chicago,African American,40-60,My experience has been the quality is better and the styles are classic/timeless which works well for my style. I tend to buy clothes that aren’t trendy and shoes that tend to be the “WOW” factor. I also like the exclusivity of buying from luxury brands. Not everyone owns what I have.
1,52,Dallas,Asian,40-60,"Quality, branding, accessibility."
1,40,Denver,White,40-60,"IMO the 3 major fashion conglomerates that produce 90% of the Luxury market share factories. They buy product product in China and assemble in Italy therefor being able to say the item was made in Italy. Kering, LVMH, Richemont.

Hermes and Chanel are still independent which shows in its quality and value retention.

When I buy a Birkin it’s going to keep, if not double or triple in value. When I buy a YSL Tote I’m losing my money and the item will soon be out of style.

Same with Chanel Classics. The price may be INSANE but the item will last for years and so will the style. I cannot say the same for Chloe, Givenchy, Gucci or Dolce and Gabbana Bags."
1,35,Honolulu,Asian,Under 40,"Luxury has great quality, timelessness, and amazing long lasting client relationship. I can have rtw sent to my home to try and pay for what I keep. I can reserve items from runway, I can rely on craftsmanship and good tailoring and alterations. Also, items stand the test of wear and time. They look great years later with good maintenance. It’s worth the investment."
1,35,Honolulu,Asian,Under 40,"What differentiates luxury fashion houses from other fashion brands is of course quality, craftsmanship, after care services and I consider them long term investments. I also have good relationships with my SAs letting me know if something I might want arrived in their boutiques and reserving items for me until I can physically go."
1,43,Houston,Asian,40-60,"Luxury brand usually has more details. Also seasonal designs which are unique. Chanel has their fantasy tweed which is a really beautiful handwork piece. Dior likes their feminine soluette with the waist altered smaller and Dior’s knit work and crochet handwork are gorgeous.
Chanel and Hermès handbags last a long time! The stitching is tight and don’t come lose. Leather doesn’t peel."
1,25,Houston,White,Under 40,"For me personally what differentiates a luxury fashion brand are several factors. First and foremost is quality, the durability of an item is dependent on the quality of the item. I always research the materials the item is made out of not only for my personal knowledge but also to know what I am buying, how to care for it, durability, and if I am getting ripped off. I like to make sure that the luxury item I am paying for is actually luxurious and not cheaply made with cheap materials. I also like to make sure that if I am spending a lot of money I want it to be on something that is timeless and can last for my daughters to one day inherit. Another thing that is important to me is customer service, how you are treated at the store and if they have good service. I also like the items to be exclusive and not something everyone can get their hands on. I also like to buy from brands that have a fair return policy in case I don’t end up liking the item. But the biggest thing after quality has to be customer service. It has happened that I go into a store wanting to buy an item but if I am not treated correctly and nicely by the sales associate I will not buy anything. It also is really frustrating to get a sales associate who doesn’t know much about the brand."
1,47,Houston,White,40-60,"For me, luxury items are expensive, limited quantities, and items I see in Vogue, editorials, or celebrities"
1,29,Las Vegas,White,Under 40,"Price and exclusivity, knowing that not everyone will be able to buy it. Also that pieces are limited so even if you have money to buy it it’s not available. What makes Hermès so appealing to me is that even of you have the money to buy it doesn’t mean you will get it. That’s true luxury to me."
1,32,Los Angeles,White,Under 40,"The biggest difference between luxury brands and non luxury brands are that I believe luxury brands make statements, and the quality will most likely last you a life time compared to a non luxury item. I also love the idea of many luxury items being more exclusive and not loosing there values."
1,47,Los Angeles,White,40-60,"It is a statement for a women . After getting married you want to stand up and by having luxury brand show that you are successful and follow trend . Some designers like Chanel is investment , it doesn’t loose the value .

Luxury brand usually is made of fine and durable quality .
Valentino shoes"
1,29,Los Angeles,White,Under 40,"The experience of locating the merchandise and representation of getting it, the quality of the item for the cost as well as longevity of having it and/passing it down"
1,42,Los Angeles,Asian,40-60,I think the main difference is the unique designs that you get from Luxury fashion houses as well as the quality. I still use my Chanel jumbo from 15 years ago for instance.
