c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
Chanel,,,,,,,,,,,Bottegga Veneta,,,,,,,Valentino,Chanel,,
Hermès,,,,,Hermès,,,,,,Hermès,,,,,,,,,Hermès,Hermès
,,,Balmain,,,,,,,,,,,,,,,,,YSL,
,,,,,,,,,,,Burberry,,,,,,,Dior,,,
,,,,,,,,,,,Burberry,,,,,,,,,Chael,
,,,,,,,,,Dolce and Gabbana ,,,,,,,,,Louis Vuitton,,Louis Vuitton,
,,,Gucci,,,,,,,,,,,,,,,,,Gucci,
,,,Versace,,,,,,,,,,,,,,,,,Chanel,Gucci
,,,,,,,,,,,,,,,,,,,,,
,,,Saint Laurent,,,,,,,,,,,,,,,Valentino,,,
Chanel,,,,,,,,,,,,,,,,,,,,Chanel,
,,,,,,,,,,,,,,,,,,,,,
Dolce & Gabbana,,,Louis Vuitton,,,,,,,,Balmain,,,,,,,Mach & Mach ,,Hermès,Chanel
,,,,,Rosie Assoulin,,,,,,Balmain,,,,,,,Chanel,Manolo,,
,,,,,,,,,,,Burberry,,,,,,,Louboutin ,,Gucci,
,,,,,,,,,,,Chanel,,,,,,,,,Louis Vuitton,Chanel
Brunello Cucinelli,,,Dolce & Gabbana,,,,,,,,,,,,,,,Celine,,,
,,,Burberry,,,,Balenciaga,,,,,,,,,,,Gucci,,Louis Vuitton,
,,,,,,,,,,,Valentino,,,,,,,Chanel,,,
,,,,,,,,,,,Burberry,Chanel,Grey textured,Fendi,One-piece,,,Gucci,Chanel,,
,,,,,Burberry,,,,,,,,,,,,,,,Dior,
Hermes,,,,,,,,,,,,,,,,,,Valentino,,,
,,,,,Gucci,,,,,,,,,,,,,,,Chanel,Chanel
Bailmain,,,,,,,,,,,,,,,,,,Gucci,,Bottega Veneta,Gucci 
,,,,,,,,,,,,,,,,,,,,,
,,,Dolce & Gabbana,,,,,,,,,,,,,,,,,Dior,
,,,,,,,,,,,,,,,,,,,,,
Hermès,,,,,,,,,,,,,,,,,,,,Chanel,
,,,,,,,Chrome Heart,,,,,,,,,,,,,Hermes,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Christian Dior,,,,,,,,,Christian Dior ,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Chanel,Gucci,inner lining houndstooth,,,,,Louboutin,Jimmy Choo,Louis Vuitton,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Gucci,,,,,,,,,,,,,,,,,,,Hermes ,
,,,,,Fedi,,,,,,,,,,,,,Fedi,,Dior,
,,,,,,,,,,,,,,,,,,,,,
Dior,,,,,,,,,,,Balenciaga,Burberry,Trench,,,,,Gucci,,Dior,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Chanel,,,,,,,Gucci,,,
,,,Fendi,,,,,,,,,,,,,,,,,Saint Laurent,
,,,Burberry,,,,,,,,,,,,,,,Louis Vuitton,,,
,,,Louis Vuitton,,,,,,,,,,,,,,,Chanel,,Chanel,
,,,,,,,,,Stella McCartney,,,,,,,,,,,Ferragamo ,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Dior,,,,,,Chanel,,,,,,,,,Chanel,
Gucci,,,,,,,,,,,,,,,,,,,,Hermès,
,,,,,Miu Miu,,,,,,,,,,,,,Miu Miu,,,
Fendi,,,,,,,,,,,,,,,,,,Hermès,,,
,,,,,,,,,,,Burberry,,,,,,,,,Givenchy,
,,,,,,,,,,,Chanel,,,,,,,,,Hermès,
,,,,,,,Gucci,,,,,,,,,,,Fendi,Valentino,Dior,
,,,,,,,,,Versace,,,,,,,,,Valentino,Giuseppe Zanotti,,
,,,Gucci,Gucci,,,,,,,,,,,,,,,,Chanel,Chanel 
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Balenciaga,,,,,,,,,,,,,,,Dior,
Fendi,,,,,,,,,,,,,,,,,,,,Chanel ,
,,,,,,,,,,,Saint Laurent,,,,,,,Chanel,,Chanel,
,,,,,,,,,,,,,,Fendi,One piece,,,Chanel,,,
,,,,,,,,,,,Prada,,,,,,,Chanel,,Chanel ,
,,,,,,,,,,,Balenciaga,,,,,,,,,YSL,
,,,,,,,,,,,Burberry,,,,,,,,,Louis Vuitton,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Dolce & Gabbana,,,,,,,,,,,,,,,,,,,,Hermès,
,,,,,,,,,,,,,,,,,,,,,
Versace,,,,,,,,,,,,,,,,,,Chanel,,Dior,
Balmain,,,,,,,,,,,,,,,,,,,,Chanel ,
Prada,,,,,,,,,,,,,,,,,,Balenciaga ,,,
,Prada,,,,Prada,,,,,,,,,,,,,,,Bottega Veneta,
Chanel,,,,,,,,,,,,,,,,,,Chanel,,Chanel ,
,,,,,,,,,,,Chanel,,,,,,,Fendi,,,
,,,,,Gucci,,,,,,,,,,,,,,,Chanel ,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Valentino,,,,,,,,,,,,,,,Dior,,,
Monique Lhuillier,Givenchy,,,,,,Saint Laurent,Gucci,,,,,,,,,,Gucci,Givenchy ,YSL,Gucci
,,,,,,,Balenciaga,,,,,,,,,,,Dior,,Chanel,Louis Vuitton 
Chanel,,,,,,,,,,,Chanel,Dior,"Black, Short",,,,,Hermes,Valentino,Hermès,
Dolce & Gabbana,,,,,,,,,,,,,,,,,,,,Balmain,Chanel
,,,Gucci,,,,,,,,Prada,,,,,,,Valentino,Jimmy Choo,Chanel,Dior
Chanel,Dior,,,,,Cardiagan,,,,,,,,,,,,Chanel ,,Chanel,Celine
,,,,,Gucci,,,,,,,,,,,,,YSL,Prada,,
,,,,,,,Burberry,,,,Burberry,,,,,,,Fendi,Hermes,Chanel,
,,,Louis Vuitton,,,,,,,,,,,,,,,,,Louis Vuitton,Louis Vuitton
Miu Miu,,,,,,,,,,,,,,,,,,Gucci,,,
,,,Burberry,,,,,,,,,,,,,,,,,Louis Vuittion,
,,,,,,,,,,,,,,,,,,,,,
,,,Burberry,,,,,,,,,,,,,,,Louis Vuitton,,,
,,,Burberry,,,,,,,,,,,,,,,,,Chanel,
,,,,,,,,,,,Brunelleschi,,,,,,,Gucci,,Loewe,Chanel
