Chanel owner,age,city,ethnicity,group,factor #1
1,53,Miami,White,40-60,Classic
0,24,Los Angeles,White,Under 40,Expensive
0,27,Miami,African American,Under 40,Expensive
1,32,New York,White,Under 40,Expensive
1,59,New York,White,40-60,Expensive
0,33,New York,Asian,Under 40,Expensive
0,50,Los Angeles,White,40-60,Expensive
0,40,Denver,White,40-60,Expensive
0,28,Atlanta,Asian,Under 40,Expensive
1,29,Miami,White,Under 40,Feels Good
0,41,San Francisco,African American,40-60,Feels Good
1,47,Miami,White,40-60,History
0,59,New York,White,40-60,Quality
0,42,Atlanta,African American,40-60,Quality
0,46,Philadelphia,White,40-60,Quality
0,48,New York,White,40-60,Quality
0,24,New York,White,Under 40,Quality
0,33,Los Angeles,Asian,Under 40,Quality
1,51,Chicago,White,40-60,Quality
0,42,New York,White,40-60,Quality
0,25,New York,White,Under 40,Quality
1,42,Los Angeles,Asian,40-60,Quality
0,26,Los Angeles,Hispanic,Under 40,Quality
0,47,Dallas,Asian,40-60,Quality
1,43,Los Angeles,Asian,40-60,Quality
0,47,Los Angeles,Asian,40-60,Quality
1,29,Miami,Asian,Under 40,Quality
0,32,San Francisco,Asian,Under 40,Quality
0,31,Los Angeles,Middle Eastern,Under 40,Quality
0,36,Los Angeles,Asian,Under 40,Quality
1,46,Atlanta,White,40-60,Quality
0,37,Cincinnati,White,Under 40,Quality
0,41,Dallas,White,40-60,Quality
0,24,Los Angeles,White,Under 40,Quality
0,52,Los Angeles,White,40-60,Quality
0,33,Los Angeles,White,Under 40,Quality
0,32,Miami,White,Under 40,Quality
1,52,Miami,White,40-60,Quality
0,60,New York,White,40-60,Quality
1,42,New York,White,40-60,Quality
0,43,Philadelphia,White,40-60,Quality
0,32,Philadelphia,White,Under 40,Quality
0,37,Atlanta,White,Under 40,Quality
1,34,Miami,African American,Under 40,Retains Value
0,28,New York,White,Under 40,Retains Value
1,36,Los Angeles,White,Under 40,Service
0,35,Cincinnati,White,Under 40,Service
0,35,Boston,Asian,40-60,Service
0,43,Los Angeles,White,40-60,Timeless
0,30,New York,White,Under 40,Timeless
1,45,New York,Asian,40-60,Timeless
0,33,Boston,White,Under 40,Timeless
0,50,Dallas,White,40-60,Timeless
1,60,New York,White,40-60,Timeless
1,60,New York,White,40-60,Timeless
0,31,New York,White,Under 40,Timeless
0,47,Philadelphia,White,40-60,Timeless
0,43,New York,White,40-60,Unique
0,55,Boston,White,40-60,Unique
0,59,Chicago ,White,40-60,Quality
0,40,New York,White,40-60,Quality
0,43,Atlanta,White,40-60,Expensive
0,31,New York,White,Under 40,Quality
0,43,Los Angeles,Asian,40-60,Quality
1,31,Los Angeles,Asian,Under 40,History
0,36,Los Angeles,Middle Eastern,Under 40,Quality
1,30,Los Angeles,White,Under 40,Creativity
0,37,Los Angeles,White,Under 40,Lasts a Lifetime
1,34,Los Angeles,Middle Eastern,Under 40,Quality
1,47,Dallas ,White,40-60,Expensive
1,36,Chicago,White,Under 40,Service
0,32,Los Angeles,White,Under 40,Quality
1,43,Los Angeles,Asian,40-60,Timeless
0,34,Los Angeles,Asian,Under 40,Quality
0,36,Los Angeles,None,Under 40,Creativity
0,47,Chicago,Asian,40-60,Expensive
0,43,New York,Asian,40-60,Quality
0,34,Miami,White,Under 40,Quality
1,48,Boston,White,40-60,Quality
0,46,Philadelphia,White,40-60,Quality
0,40,Dallas,White,40-60,Quality
0,59,Dallas,White,40-60,Quality
0,49,Chicago,African American,40-60,Quality
0,25,Miami,White,Under 40,Quality
0,44,Chicago,White,40-60,Quality
0,39,Chicago,African American,Under 40,Retains Value
0,40,New York,White,40-60,Unique
0,26,New York,White,Under 40,Quality
0,46,Chicago,White,40-60,Expensive
0,34,Los Angeles,White,Under 40,Expensive
