chanel buyer,age,city,ethnicity,group,definition
1,32,Anchorage,White,Under 40,A certain price point is definitely a major factor. Anything over $750 seems lux. Also exclusively. I like items that are somewhat hard to get. For example Chanel can’t be purchased online. That makes it more luxury to me. Also many luxury brands only make a limited number of items or for a certain season only. That makes them seem more Lux. I also like to buy things that I see people wearing on reality TV. I’m a major Bravo fan and get a lot of my luxury inspiration from what the housewives wear.
1,35,Atlanta,White,Under 40,"I believe a luxury fashion brands are good investment pieces that offers quality, uniqueness and holds resale value."
1,40,Atlanta,African American,40-60,Craftsmanship and unique pieces
0,28,Atlanta,White,Under 40,"The quality and craftsmanship of the products that the brand offers, also the level of service and attention that the sales associates provide. The ability to build relationships with the luxury brands. The artistic aspect of the designs and attention to detail tend to be much better."
0,37,Atlanta,White,Under 40,"It’s the quality, the customer service and the longevity of the products. I have things that i wear from over 15 years ago that are just as good as my newer purchases."
0,42,Atlanta,White,40-60,"Statement pieces that will be around for a long time, quality"
0,29,Atlanta,White,Under 40,The pieces are classic and withstand time. They are about quality and not just what is trendy at the moment.
0,34,Atlanta,White,Under 40,"To me, a luxury fashion brand is lifestyle design through clothing, accessories & often other lifestyle pieces & wares compared with just selling ad how outfit pieces. Often, luxury fashion brands are also higher quality & longer lasting style."
0,36,Atlanta,White,Under 40,"in my opinion the things that primarily differentiates luxury fashion brands are listed below:

*   The Exclusivity of the pieces. Typically a designer will create seasonal pieces ( designs, colors, etc) that they will retire at the end of the season. Therefore it creates a sense of urgency for you to buy and uniqueness.
    
*   QUALITY, QUALITY!! The high quality of luxury brands are worth the investment. It’s so comforting to know that your leathered items are made with premium quality and carefully stitched, which in turn would lasts for years for proper care."
1,31,Austin,White,Under 40,"To me, a luxury brand is brand that has withstand the test of time and is iconic. Iconic in the sense that when you look at a piece of item, you can easily identify the brand. Some great examples of that would be the Chanel classic flap, Louboutins red sole, the Lonchamp tote, and Mulberry bayswater. The second important factor for me is quality. It has to be made to last and the item must have flawless craftsmanship. These are the two things that are important to me when it comes to luxury brands."
1,32,Baltimore,White,Under 40,"The quality, service and relationship are the most important factors. Service not just at the time of purchase but also if an issue arises, they stand by their product. For clothing, being able to alter and have the SA help with fit is very helpful. For shoes and bags, there is nothing more important than your relationship with your SA. Having that relationship is only possible in the luxury market."
0,48,Baltimore,White,40-60,"In my opinion the quality of the luxury brand is what makes the difference.
Louis Vuitton Neverfull"
