owns chanel,owns gucci,ownd burberry,owns hermes,owns D&G,owns fendi,owns valentino,owns prada,owns ysl,owns louis vuitton,owns dior,item 1,item 2
1,,,,,,,,,,,,
,,,,1,,,,,,1,,
,1,,1,,,,,,,,,
,,,,,,,,,,,,
,,1,,,,,,,,1,,
1,,1,,,,,,,,,,
,,,,1,,,,,,,,
,1,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,1,,,,
1,,,,,,,,,,,,
1,,,,,,,,,1,,,
,,,,,,,,,1,,,
1,,,,,,,,,,,,
,1,1,,,,,1,,,,,
1,,,,,,,,,1,,,
,,,,,,,,,,,,
1,,1,,,,,,,1,,,
1,,,,,,1,,,,,,
1,,1,,,1,,,,,,,
,,1,,,,,,,,1,,
,,,1,,,1,,,,,,
,,,,,,,,,,,,
1,1,,,,,,,,,,,
,1,,,,,,,1,,,,
,,,,,,,,,,,Balenciga Jean jacket,Chanel 17B jumbo flap bag and/or 19S iridescent beige jumbo flap bag
,,,,,,,,,,,,dior lady dior
,,,,,,,,,,,Fendi Dress,Louis Vuitton bag and Christian Louboutin shoes
,,,,,,,,,,,Brunello Cucinelli,Gucci
,,,,,,,,,,,Hermes black knit dress $1925,Chanel 19 flap $5100
,,,,,,,,,,,"
Balenciaga",Hermes Tri color birkin
,,,,,,,,,,,Burberry,Chanel Bags and Givenchy Boots
,,,,,,,,,,,"Gucci sweater, BALMAIN top","Prada boots, Christian Louboutin sandals"
,,,,,,,,,,,Burberry,Louis Vuitton
,,,,,,,,,,,Christian Dior jacket,Christian Dior Bobby bag
,,,,,,,,,,,Dior pant set,Bottega cassette bags
,,,,,,,,,,,Gucci,Chanel
,,,,,,,,,,,"Chanel
Gucci
Gucci","Chanel
Hermes, Chanel, Fendi
Louis Vuitton
Designer shoes bought in the last year: Chanel, YSL, Louboutin, Jimmy Choo, Manolo"
,,,,,,,,,,,Burberry trentchcoat,Hermes Kelly
,,,,,,,,,,,Burberry,"Balenciaga
Goyard"
,,,,,,,,,,,Gucci skirt,Hermes Birkin 25 bleu nuit in matte alligator with SHW
,,,,,,,,,,,Fendi sweater I bought in February,Fendi block heels i bought last weekend snd Dior purse i bought in December
,,,,,,,,,,,Stella Mccartney jumpsuit,"Prada boots, gucci sneakers"
,,,,,,,,,,,"Burberry jacket
balenciaga jacket
Dior Dress","Dior Purse
Gucci Sneakers"
,,,,,,,,,,,Balmain blazer,Hermès birkin
,,,,,,,,,,,,
,,,,,,,,,,,Fendi blouse,Saint Laurent handbag
,,,,,,,,,,,Burberry Shirt,LV Boots
,,,,,,,,,,,"Louis Vuitton
Louis Shirt/Sweater",Chanel Shoes and Handbag
,,,,,,,,,,,Gucci tee,"Louis Vuitton pochette
Hermes bag"
,,,,,,,,,,,Stella McCartney pants,Ferragamo Studio bag
,,,,,,,,,,,"Gucci coat
Gucci coat",Channel heels
,,,,,,,,,,,"Chanel
Dior",Chanel
,,,,,,,,,,,Gucci dress,Hermes evelyne
,,,,,,,,,,,,
,,,,,,,,,,,Fendi Dress,Hermès shoes
,,,,,,,,,,,Burberry Jacket,Givenchy handbag
,,,,,,,,,,,Fendi sweater dress purchased a few weeks ago.,Chanel calf height quilted boots. Purchase 2 months ago. Fendi tall western boot in photo as well.
,,,,,,,,,,,Chanel Coat,Hermes Garden Party every day bag
,,,,,,,,,,,,"Dior bag, Fendi and Valentino Shoes"
,,,,,,,,,,,Versace shorts,Valentino sandals and Giuseppe zanotti heels
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Celine Blouse,YSL BAG- greenish/grey with gunmetal
,,,,,,,,,,,Balenciaga cardigan,Dior bag
,,,,,,,,,,,Fendi dress,Chanel boy bag
,,,,,,,,,,,Saint Laurent jacket,Chanel bag and chanel sneakers
,,,,,,,,,,,Fendi Bathing Suit,Chanel mules
